gene	cgm	cgm_core
217378_x_at	12	12
217232_x_at	0	0
215125_s_at	3	3
205680_at	-1	-1
206119_at	-1	-1
211506_s_at	-1	-1
206391_at	5	-1
222329_x_at	18	18
212281_s_at	4	4
202311_s_at	11	-1
216510_x_at	12	12
203453_at	-1	-1
206561_s_at	-1	-1
209160_at	4	4
209687_at	11	11
217744_s_at	-1	-1
201650_at	15	15
211813_x_at	11	11
204620_s_at	11	-1
218087_s_at	11	11
209189_at	9	-1
217294_s_at	-1	-1
216491_x_at	12	12
210986_s_at	11	11
201852_x_at	11	11
215076_s_at	11	11
221729_at	11	11
201631_s_at	9	9
201739_at	9	-1
202345_s_at	3	3
208596_s_at	3	3
206165_s_at	-1	-1
219263_at	4	4
203131_at	11	11
211696_x_at	0	0
201438_at	11	11
204379_s_at	-1	-1
AFFX-HUMRGE/M10098_M_at	7	7
200637_s_at	-1	-1
216207_x_at	12	12
204380_s_at	-1	-1
222281_s_at	3	3
205132_at	11	11
209057_x_at	18	18
207173_x_at	11	11
210064_s_at	4	-1
209126_x_at	1	1
215182_x_at	18	18
204971_at	-1	-1
209612_s_at	11	11
209613_s_at	11	11
203571_s_at	4	4
206658_at	4	-1
208747_s_at	11	11
209395_at	12	12
201012_at	8	8
212671_s_at	13	13
210297_s_at	-1	-1
214079_at	4	4
201694_s_at	9	9
221730_at	11	-1
210764_s_at	9	9
217967_s_at	11	11
203766_s_at	11	11
207862_at	4	-1
206393_at	-1	-1
209386_at	10	10
217109_at	2	2
203914_x_at	4	4
202644_s_at	9	9
211643_x_at	12	12
204855_at	14	14
212282_at	4	4
200907_s_at	11	11
216560_x_at	12	12
201858_s_at	13	-1
202995_s_at	-1	-1
203477_at	11	11
208155_x_at	0	-1
211674_x_at	0	-1
219197_s_at	-1	-1
217148_x_at	12	12
216248_s_at	9	9
212143_s_at	-1	-1
209118_s_at	11	11
204418_x_at	-1	-1
201909_at	-1	-1
208235_x_at	0	-1
201860_s_at	-1	-1
206033_s_at	1	1
217767_at	-1	-1
212992_at	-1	-1
202499_s_at	9	9
201291_s_at	5	5
212097_at	11	11
213921_at	-1	-1
201130_s_at	-1	-1
206438_x_at	18	18
204550_x_at	-1	-1
219087_at	11	-1
205207_at	9	9
207086_x_at	0	-1
213428_s_at	11	11
218813_s_at	-1	-1
205501_at	4	-1
222162_s_at	9	9
212279_at	4	4
202403_s_at	11	11
206771_at	-1	-1
213831_at	-1	-1
208937_s_at	15	15
217388_s_at	-1	-1
205749_at	-1	-1
221841_s_at	9	9
211798_x_at	12	12
204602_at	-1	-1
204622_x_at	9	9
203290_at	-1	-1
201141_at	-1	-1
203021_at	1	1
211634_x_at	12	12
210139_s_at	11	11
204141_at	-1	-1
205009_at	-1	-1
211657_at	-1	-1
208262_x_at	18	18
202241_at	6	6
201946_s_at	18	18
210065_s_at	4	-1
209335_at	11	11
211637_x_at	12	12
215034_s_at	10	10
209008_x_at	15	15
207847_s_at	2	-1
206323_x_at	18	18
210546_x_at	0	-1
211990_at	13	13
208370_s_at	9	9
208894_at	13	13
204149_s_at	-1	-1
220532_s_at	13	13
210445_at	4	-1
201560_at	11	11
205683_x_at	11	-1
212192_at	-1	-1
217179_x_at	12	12
209173_at	4	4
206116_s_at	11	11
204472_at	9	9
202687_s_at	-1	-1
211968_s_at	18	18
208791_at	-1	-1
203186_s_at	-1	-1
210095_s_at	-1	-1
201123_s_at	-1	-1
205483_s_at	-1	-1
212354_at	11	-1
218872_at	3	-1
212560_at	4	4
206166_s_at	-1	-1
211697_x_at	18	18
213674_x_at	12	-1
200799_at	8	-1
201925_s_at	6	6
209270_at	14	14
204719_at	11	11
201008_s_at	-1	-1
201667_at	-1	-1
216598_s_at	9	9
AFFX-r2-Hs28SrRNA-5_at	7	7
215108_x_at	4	4
218918_at	-1	-1
203083_at	-1	-1
204363_at	9	9
200986_at	11	11
201641_at	-1	-1
203936_s_at	13	-1
206059_at	15	15
215214_at	12	12
214580_x_at	1	1
212998_x_at	13	13
214836_x_at	12	12
213843_x_at	-1	-1
202887_s_at	14	-1
222303_at	9	-1
213998_s_at	-1	-1
217997_at	-1	-1
212588_at	13	13
214777_at	12	12
218353_at	11	11
200795_at	11	11
202718_at	-1	-1
208131_s_at	11	11
218611_at	6	6
204470_at	2	2
202831_at	3	3
210982_s_at	13	13
201839_s_at	-1	-1
204465_s_at	-1	-1
214599_at	-1	-1
202037_s_at	11	11
214651_s_at	-1	-1
216984_x_at	12	12
201110_s_at	9	9
216557_x_at	12	12
204284_at	4	4
217235_x_at	12	12
201105_at	11	11
218002_s_at	-1	-1
200598_s_at	18	18
213417_at	4	-1
218186_at	15	15
212488_at	11	11
207134_x_at	11	-1
216474_x_at	11	11
200968_s_at	-1	-1
201884_at	2	2
205513_at	2	-1
218718_at	11	11
211689_s_at	4	4
211991_s_at	13	13
202219_at	-1	-1
204135_at	-1	-1
201427_s_at	11	-1
202688_at	-1	-1
205476_at	2	-1
208712_at	15	-1
201417_at	18	18
221541_at	11	11
207469_s_at	-1	-1
221031_s_at	9	9
209457_at	9	9
204777_s_at	-1	-1
217546_at	10	-1
210467_x_at	0	-1
214657_s_at	-1	-1
219850_s_at	-1	-1
208510_s_at	4	4
220725_x_at	18	18
203304_at	4	4
210854_x_at	-1	-1
202075_s_at	-1	-1
202746_at	11	11
204939_s_at	11	11
209696_at	4	4
209803_s_at	6	6
212667_at	11	11
221305_s_at	3	-1
214236_at	-1	-1
217757_at	11	11
214549_x_at	1	1
200638_s_at	18	18
205267_at	12	12
204990_s_at	14	14
204540_at	11	-1
215333_x_at	-1	-1
217234_s_at	-1	-1
211748_x_at	11	11
39249_at	-1	-1
218960_at	3	3
212841_s_at	4	4
215193_x_at	13	13
210519_s_at	-1	-1
209212_s_at	15	15
201787_at	-1	-1
204439_at	-1	-1
206302_s_at	-1	-1
203570_at	-1	-1
203726_s_at	-1	-1
209656_s_at	-1	-1
216971_s_at	14	14
202953_at	13	13
212233_at	11	11
41469_at	1	1
34210_at	13	13
212865_s_at	11	11
203868_s_at	11	11
213502_x_at	12	12
217739_s_at	9	9
202283_at	11	11
216153_x_at	18	18
202643_s_at	9	9
221728_x_at	-1	-1
211881_x_at	12	12
215382_x_at	11	-1
200641_s_at	18	18
205442_at	4	4
200606_at	-1	-1
210298_x_at	11	11
214973_x_at	12	12
217580_x_at	18	18
202238_s_at	10	10
202766_s_at	11	11
204326_x_at	10	10
204818_at	-1	-1
211527_x_at	-1	-1
209191_at	11	11
202454_s_at	15	15
201506_at	11	-1
202269_x_at	-1	-1
266_s_at	-1	-1
205595_at	1	1
200832_s_at	-1	-1
211650_x_at	12	12
204621_s_at	9	9
205765_at	-1	-1
201170_s_at	8	8
201292_at	5	5
201490_s_at	-1	-1
211597_s_at	-1	-1
208581_x_at	10	10
219759_at	-1	-1
213746_s_at	11	-1
212185_x_at	10	10
211653_x_at	4	4
201599_at	-1	-1
206115_at	9	9
210511_s_at	11	-1
207126_x_at	3	3
204331_s_at	18	18
209071_s_at	11	11
202450_s_at	11	11
201348_at	-1	-1
212489_at	11	-1
203917_at	4	4
201616_s_at	11	11
214359_s_at	-1	-1
213693_s_at	2	-1
201283_s_at	-1	-1
209602_s_at	4	4
37892_at	11	-1
200751_s_at	18	18
207076_s_at	-1	-1
202704_at	-1	-1
211981_at	11	-1
201551_s_at	-1	-1
208792_s_at	-1	-1
219529_at	1	-1
203381_s_at	12	-1
208966_x_at	8	8
215867_x_at	3	3
209959_at	9	9
204532_x_at	3	3
210084_x_at	11	-1
203382_s_at	12	12
203821_at	9	9
217480_x_at	12	12
202779_s_at	-1	-1
203963_at	3	3
209436_at	11	11
212187_x_at	11	11
214366_s_at	4	4
201601_x_at	13	13
212386_at	11	11
204427_s_at	18	18
219992_at	-1	-1
213992_at	-1	-1
214916_x_at	12	12
204446_s_at	4	4
218723_s_at	9	9
205624_at	11	11
206211_at	9	9
204122_at	13	13
208750_s_at	-1	-1
208808_s_at	5	5
221667_s_at	-1	-1
202628_s_at	-1	-1
215646_s_at	11	-1
217281_x_at	12	12
201743_at	13	13
207549_x_at	-1	-1
206025_s_at	10	10
213068_at	-1	-1
214164_x_at	3	3
201983_s_at	-1	-1
211635_x_at	12	12
212449_s_at	16	16
212501_at	-1	-1
208621_s_at	-1	-1
209621_s_at	11	11
209773_s_at	5	5
AFFX-r2-Hs28SrRNA-M_at	7	7
203240_at	2	-1
202504_at	-1	-1
202870_s_at	5	5
217110_s_at	2	2
219355_at	-1	-1
205935_at	11	11
201830_s_at	18	18
210987_x_at	11	11
201645_at	10	10
209074_s_at	11	11
209460_at	4	4
202489_s_at	15	15
202546_at	-1	-1
211571_s_at	11	-1
217140_s_at	18	18
211796_s_at	12	12
205402_x_at	-1	-1
AFFX-HUMGAPDH/M33197_5_at	-1	-1
201889_at	17	17
201670_s_at	-1	-1
203074_at	-1	-1
202736_s_at	-1	-1
209260_at	14	14
213668_s_at	18	18
213524_s_at	10	-1
209459_s_at	4	4
201464_x_at	9	9
214290_s_at	-1	-1
202833_s_at	-1	-1
217258_x_at	12	12
204019_s_at	4	4
215946_x_at	12	12
202994_s_at	-1	-1
200798_x_at	6	6
219049_at	11	11
214924_s_at	4	4
202988_s_at	9	9
209210_s_at	11	11
209318_x_at	-1	-1
200665_s_at	11	11
203915_at	12	12
215884_s_at	17	17
206332_s_at	8	8
215812_s_at	-1	-1
212713_at	11	11
208335_s_at	11	11
220330_s_at	9	9
202437_s_at	9	-1
214895_s_at	-1	-1
201617_x_at	11	11
205856_at	4	-1
203608_at	-1	-1
204272_at	-1	-1
213139_at	8	8
206198_s_at	2	2
202593_s_at	-1	-1
209699_x_at	4	4
201596_x_at	-1	-1
202935_s_at	-1	-1
210512_s_at	6	6
200762_at	11	11
204597_x_at	9	9
212063_at	8	8
221664_s_at	-1	-1
215726_s_at	4	4
200973_s_at	16	16
204959_at	13	-1
205220_at	-1	-1
200648_s_at	-1	-1
212724_at	9	9
216853_x_at	12	12
209546_s_at	3	3
204895_x_at	2	2
212067_s_at	11	11
217755_at	-1	-1
200967_at	-1	-1
209340_at	5	-1
209278_s_at	10	-1
210735_s_at	3	3
201926_s_at	6	6
211762_s_at	5	5
201792_at	11	11
200656_s_at	-1	-1
212805_at	11	11
211905_s_at	14	14
203645_s_at	13	13
214247_s_at	11	11
209312_x_at	13	13
201426_s_at	11	11
218229_s_at	-1	-1
205890_s_at	12	12
212190_at	11	11
204931_at	11	11
204170_s_at	5	5
204438_at	-1	-1
200953_s_at	11	11
209604_s_at	4	4
201841_s_at	-1	-1
221884_at	4	4
201300_s_at	8	8
206336_at	2	2
204455_at	-1	-1
203455_s_at	8	-1
202826_at	15	15
210517_s_at	11	11
206337_at	-1	-1
203973_s_at	-1	-1
213887_s_at	-1	-1
201920_at	-1	-1
215388_s_at	-1	-1
217356_s_at	-1	-1
204537_s_at	-1	-1
200600_at	11	11
217227_x_at	12	12
209369_at	-1	-1
201367_s_at	-1	-1
214639_s_at	-1	-1
207802_at	-1	-1
209863_s_at	-1	-1
214594_x_at	18	-1
211734_s_at	11	-1
202007_at	11	11
217717_s_at	-1	-1
203065_s_at	11	11
216351_x_at	18	18
201923_at	-1	-1
214696_at	-1	-1
214022_s_at	13	13
203729_at	11	11
221747_at	11	11
202671_s_at	-1	-1
211980_at	11	-1
201761_at	11	-1
201286_at	15	15
213986_s_at	-1	-1
201668_x_at	-1	-1
203887_s_at	-1	-1
212195_at	11	11
204426_at	18	18
206094_x_at	3	3
202436_s_at	-1	-1
203324_s_at	8	8
214058_at	4	-1
211966_at	11	-1
209651_at	11	11
209772_s_at	-1	-1
211136_s_at	-1	-1
214752_x_at	11	-1
218232_at	13	13
208610_s_at	-1	-1
213506_at	-1	-1
203403_s_at	17	17
215813_s_at	11	11
200750_s_at	18	18
202581_at	-1	-1
209728_at	-1	-1
215049_x_at	13	13
205552_s_at	-1	-1
216922_x_at	18	18
211964_at	11	-1
202686_s_at	11	11
218309_at	-1	-1
AFFX-HSAC07/X00351_5_at	-1	-1
210072_at	-1	-1
213293_s_at	-1	-1
201721_s_at	13	13
209681_at	6	-1
201901_s_at	-1	-1
200707_at	-1	-1
201369_s_at	-1	-1
221690_s_at	-1	-1
213891_s_at	11	11
201565_s_at	4	4
203881_s_at	11	11
201088_at	5	5
203582_s_at	-1	-1
214007_s_at	-1	-1
209603_at	4	4
203910_at	-1	-1
212977_at	6	-1
211454_x_at	18	18
209466_x_at	7	-1
219936_s_at	14	-1
219682_s_at	4	4
217157_x_at	12	12
213800_at	-1	-1
202731_at	-1	-1
206584_at	13	13
204533_at	12	12
202431_s_at	-1	-1
219010_at	15	15
200782_at	11	11
201312_s_at	8	8
201339_s_at	16	16
202016_at	-1	-1
203680_at	11	11
201137_s_at	13	13
211574_s_at	-1	-1
215684_s_at	-1	-1
218051_s_at	-1	-1
204051_s_at	11	-1
211429_s_at	13	-1
214091_s_at	-1	-1
202923_s_at	4	4
208783_s_at	16	16
205990_s_at	-1	-1
217272_s_at	1	1
206191_at	3	3
217569_x_at	18	18
200700_s_at	18	18
209796_s_at	18	18
201890_at	5	5
216379_x_at	-1	-1
201693_s_at	9	9
211922_s_at	4	4
220990_s_at	6	6
208892_s_at	-1	-1
200859_x_at	11	-1
209146_at	-1	-1
212091_s_at	-1	-1
210317_s_at	-1	-1
217797_at	-1	-1
37793_r_at	18	18
200864_s_at	16	16
201337_s_at	-1	-1
213094_at	4	-1
205725_at	-1	-1
200872_at	-1	-1
218237_s_at	-1	-1
201466_s_at	9	9
201505_at	-1	-1
202591_s_at	18	18
201539_s_at	11	11
209289_at	-1	-1
204007_at	13	-1
210915_x_at	-1	-1
218677_at	1	1
201862_s_at	-1	-1
204614_at	1	1
201131_s_at	-1	-1
220779_at	-1	-1
209596_at	-1	-1
204688_at	-1	-1
208319_s_at	-1	-1
209387_s_at	10	10
212012_at	11	11
200744_s_at	18	18
209529_at	-1	-1
206884_s_at	1	1
220468_at	-1	-1
202133_at	11	11
204794_at	-1	-1
217418_x_at	15	15
209619_at	13	13
212764_at	11	11
205366_s_at	-1	-1
201109_s_at	9	9
204279_at	13	13
205000_at	-1	-1
218559_s_at	13	-1
202089_s_at	16	16
202992_at	11	11
202957_at	9	-1
203153_at	-1	-1
212085_at	15	15
204897_at	9	-1
203722_at	4	4
209291_at	-1	-1
202627_s_at	-1	-1
208651_x_at	-1	-1
211864_s_at	16	16
208835_s_at	-1	-1
201302_at	-1	-1
204595_s_at	9	9
214214_s_at	-1	-1
218336_at	-1	-1
215607_x_at	18	18
201467_s_at	-1	-1
209732_at	11	-1
221854_at	-1	-1
201745_at	-1	-1
208677_s_at	-1	-1
209035_at	-1	-1
205910_s_at	-1	-1
203789_s_at	17	-1
202844_s_at	-1	-1
210020_x_at	-1	-1
202267_at	-1	-1
202990_at	-1	-1
211639_x_at	12	12
219288_at	-1	-1
206488_s_at	-1	-1
201251_at	-1	-1
214581_x_at	16	16
218350_s_at	-1	-1
200729_s_at	-1	-1
203217_s_at	4	4
219147_s_at	-1	-1
206461_x_at	10	10
204965_at	-1	-1
209290_s_at	-1	-1
208622_s_at	15	15
209570_s_at	3	3
202363_at	-1	-1
203672_x_at	18	18
215177_s_at	-1	-1
203946_s_at	-1	-1
210299_s_at	11	11
208539_x_at	1	1
201325_s_at	9	9
202620_s_at	11	-1
212328_at	4	4
217590_s_at	11	11
212773_s_at	-1	-1
217202_s_at	-1	-1
206164_at	-1	-1
214453_s_at	-1	-1
201202_at	5	5
205336_at	-1	-1
220864_s_at	-1	-1
206504_at	-1	-1
212587_s_at	12	12
212268_at	8	8
214235_at	-1	-1
210119_at	-1	-1
212859_x_at	10	10
204636_at	14	-1
209109_s_at	16	16
208852_s_at	18	18
203509_at	4	4
219681_s_at	-1	-1
204151_x_at	4	4
204698_at	12	12
201310_s_at	11	11
205828_at	9	-1
201563_at	16	16
202068_s_at	-1	-1
201243_s_at	-1	-1
201431_s_at	11	11
201664_at	5	5
204014_at	-1	-1
215028_at	-1	-1
218656_s_at	11	11
202668_at	5	-1
216594_x_at	4	4
34031_i_at	-1	-1
213229_at	-1	-1
200862_at	-1	-1
216005_at	9	9
203007_x_at	16	16
211919_s_at	9	-1
202270_at	-1	-1
203498_at	11	11
221452_s_at	17	17
221269_s_at	-1	-1
202936_s_at	-1	-1
201005_at	15	15
201689_s_at	16	16
217871_s_at	-1	-1
200635_s_at	15	15
202609_at	4	4
205597_at	4	-1
205290_s_at	3	-1
217764_s_at	11	-1
214027_x_at	11	-1
202878_s_at	11	11
207791_s_at	-1	-1
209795_at	9	9
204508_s_at	3	3
201069_at	11	11
202393_s_at	8	8
39729_at	18	18
209366_x_at	4	4
217738_at	-1	-1
221972_s_at	-1	-1
218888_s_at	0	-1
215444_s_at	-1	-1
200800_s_at	-1	-1
200806_s_at	18	18
201195_s_at	-1	-1
203574_at	9	9
208083_s_at	-1	-1
206052_s_at	-1	-1
203878_s_at	11	-1
201287_s_at	15	15
205097_at	-1	-1
209771_x_at	-1	-1
203108_at	-1	-1
202085_at	16	16
208734_x_at	18	18
202856_s_at	14	14
205051_s_at	-1	-1
200604_s_at	-1	-1
205321_at	-1	-1
203423_at	11	-1
200760_s_at	16	16
201301_s_at	-1	-1
209027_s_at	17	17
208281_x_at	18	18
209505_at	11	11
212843_at	11	11
209022_at	-1	-1
201669_s_at	-1	-1
205208_at	-1	-1
206134_at	12	-1
204345_at	11	11
216733_s_at	-1	-1
209605_at	-1	-1
218009_s_at	5	5
208743_s_at	-1	-1
205863_at	1	1
217989_at	-1	-1
207663_x_at	0	-1
212444_at	-1	-1
206552_s_at	-1	-1
216032_s_at	-1	-1
213572_s_at	8	8
221428_s_at	-1	-1
212585_at	17	17
203085_s_at	14	14
203216_s_at	16	16
201163_s_at	11	11
222108_at	-1	-1
202202_s_at	11	11
207390_s_at	11	-1
217850_at	-1	-1
206385_s_at	-1	-1
202600_s_at	-1	-1
209292_at	-1	-1
203815_at	-1	-1
201273_s_at	-1	-1
204952_at	-1	-1
212741_at	4	4
209496_at	-1	-1
205629_s_at	0	-1
213110_s_at	-1	-1
209373_at	2	-1
214218_s_at	-1	-1
203593_at	16	16
214055_x_at	-1	-1
204718_at	14	-1
202855_s_at	14	14
206032_at	1	1
200052_s_at	18	18
219554_at	1	1
212218_s_at	-1	-1
210933_s_at	14	14
216981_x_at	18	18
204351_at	15	15
208703_s_at	18	18
220691_at	18	18
202381_at	17	17
202850_at	-1	-1
200636_s_at	15	15
219848_s_at	-1	-1
210830_s_at	-1	-1
222035_s_at	17	17
201850_at	-1	-1
209823_x_at	13	13
208308_s_at	-1	-1
213593_s_at	-1	-1
211074_at	-1	-1
205542_at	-1	-1
206698_at	-1	-1
218657_at	-1	-1
212574_x_at	-1	-1
215223_s_at	-1	-1
218162_at	11	11
208798_x_at	-1	-1
201947_s_at	18	-1
200887_s_at	-1	-1
208691_at	6	6
207808_s_at	11	11
214505_s_at	11	11
200990_at	-1	-1
203180_at	9	-1
201952_at	-1	-1
200679_x_at	-1	-1
213425_at	-1	-1
208636_at	11	11
205466_s_at	-1	-1
207574_s_at	9	9
201015_s_at	-1	-1
217897_at	11	11
201531_at	9	9
217617_at	10	-1
201315_x_at	13	13
201577_at	-1	-1
214234_s_at	-1	-1
202803_s_at	13	13
209465_x_at	7	-1
219476_at	4	-1
203256_at	-1	-1
201132_at	17	17
209201_x_at	9	9
207843_x_at	4	4
210356_x_at	15	15
203325_s_at	11	-1
201327_s_at	18	-1
220191_at	-1	-1
202263_at	3	3
209569_x_at	3	3
204894_s_at	11	11
205185_at	-1	-1
200903_s_at	18	18
215780_s_at	-1	-1
208190_s_at	-1	-1
202340_x_at	9	9
204112_s_at	-1	-1
217875_s_at	-1	-1
208502_s_at	1	1
210978_s_at	-1	-1
204731_at	-1	-1
208796_s_at	4	4
208789_at	11	11
205633_s_at	-1	-1
212599_at	-1	-1
222348_at	-1	-1
201245_s_at	-1	-1
209083_at	13	13
221059_s_at	12	-1
202575_at	-1	-1
201351_s_at	-1	-1
203747_at	-1	-1
215582_x_at	18	18
203414_at	11	-1
211194_s_at	-1	-1
202086_at	-1	-1
216266_s_at	-1	-1
205623_at	2	-1
207761_s_at	4	4
204616_at	18	18
201939_at	8	8
216905_s_at	-1	-1
209070_s_at	-1	-1
204457_s_at	11	-1
215440_s_at	-1	-1
200790_at	-1	-1
203392_s_at	-1	-1
211908_x_at	12	12
203416_at	13	13
201963_at	-1	-1
200660_at	-1	-1
209211_at	-1	-1
212353_at	11	-1
218883_s_at	5	5
201931_at	16	16
213122_at	-1	-1
202950_at	-1	-1
218039_at	5	5
208654_s_at	16	16
206400_at	1	1
209480_at	-1	-1
202232_s_at	-1	-1
219922_s_at	-1	-1
208612_at	18	18
202336_s_at	-1	-1
211672_s_at	-1	-1
209669_s_at	18	18
216268_s_at	-1	-1
204304_s_at	-1	-1
203138_at	17	17
202664_at	13	13
202954_at	5	5
200664_s_at	-1	-1
203028_s_at	-1	-1
210686_x_at	18	18
205200_at	-1	-1
210513_s_at	-1	-1
215733_x_at	0	-1
200602_at	8	8
209142_s_at	-1	-1
200766_at	-1	-1
221538_s_at	-1	-1
208864_s_at	-1	-1
222155_s_at	-1	-1
202357_s_at	-1	-1
208120_x_at	18	18
203708_at	9	9
202121_s_at	18	18
204559_s_at	18	18
202976_s_at	-1	-1
203921_at	-1	-1
205499_at	3	3
202157_s_at	11	11
202118_s_at	-1	-1
211936_at	18	18
200824_at	-1	-1
209262_s_at	15	15
212205_at	-1	-1
213258_at	-1	-1
209392_at	11	-1
219250_s_at	-1	-1
217983_s_at	-1	-1
208739_x_at	18	18
213931_at	-1	-1
204070_at	13	-1
211868_x_at	12	12
211494_s_at	18	18
202983_at	-1	-1
213496_at	11	-1
202391_at	-1	-1
202286_s_at	15	15
221530_s_at	4	4
209723_at	9	-1
219014_at	13	-1
204114_at	11	-1
212915_at	11	11
205081_at	-1	-1
207977_s_at	-1	-1
201525_at	-1	-1
211404_s_at	18	18
218484_at	-1	-1
212657_s_at	-1	-1
33322_i_at	14	14
207169_x_at	15	15
33323_r_at	14	14
208014_x_at	18	18
208170_s_at	-1	-1
217941_s_at	17	17
214545_s_at	-1	-1
201061_s_at	11	11
206157_at	9	-1
212515_s_at	-1	-1
201150_s_at	-1	-1
201474_s_at	14	14
206057_x_at	18	18
218035_s_at	-1	-1
205361_s_at	-1	-1
208663_s_at	-1	-1
213994_s_at	11	11
204975_at	-1	-1
201468_s_at	-1	-1
202712_s_at	-1	-1
201589_at	-1	-1
205870_at	9	9
207392_x_at	-1	-1
202088_at	16	16
203820_s_at	10	-1
213358_at	4	4
203417_at	11	-1
200883_at	16	16
210739_x_at	18	18
211651_s_at	-1	-1
201064_s_at	15	15
204094_s_at	6	6
201193_at	4	4
221304_at	-1	-1
209114_at	-1	-1
