layer	module	phenotype	test	levels_or_n	effect	p	fdr
CGM	CGM_0	batch	spearman	57	-0.0007081901966583047	0.9958284693803128	0.9958284693803128
FGM	FGM_10	outcome	anova	5	21.6497011253541	1.4689575210081882e-10	4.847559819327021e-09
FGM	FGM_10	cancer	anova	3	23.70885358515412	4.0696704455633695e-08	6.714956235179559e-07
FGM	FGM_9	cancer	anova	3	22.731150699831645	6.884175129541404e-08	7.572592642495545e-07
FGM	FGM_9	outcome	anova	5	13.124834423742548	1.8500595826688676e-07	1.5262991557018158e-06
FGM	FGM_7	cancer	anova	3	20.13401009074146	2.929497218924119e-07	1.9334681644899187e-06
FGM	FGM_2	outcome	anova	5	10.640837781185883	2.2448585523570395e-06	1.2346722037963719e-05
FGM	FGM_7	outcome	anova	5	10.078463859326162	4.082877464259135e-06	1.6841869540068933e-05
FGM	FGM_2	cancer	anova	3	15.866598014614423	3.798465071746503e-06	1.6841869540068933e-05
FGM	FGM_1	batch	spearman	57	0.5249375524372939	2.7642213709337675e-05	0.00010135478360090482
FGM	FGM_6	cancer	anova	3	12.307599297218223	3.944169651671372e-05	0.0001301575985051553
FGM	FGM_1	outcome	anova	5	7.722014542534108	5.8106751155440714e-05	0.00017432025346632212
FGM	FGM_8	outcome	anova	5	7.1285613261368495	0.00011812292036105483	0.0003248380309929008
FGM	FGM_0	outcome	anova	5	7.042935882610768	0.00013104115056317129	0.0003326429206603579
FGM	FGM_6	outcome	anova	5	6.514861955855625	0.00025054975891300024	0.0005905815745806434
FGM	FGM_8	cancer	anova	3	9.028904144545363	0.0004142315807811172	0.0008642511045231937
FGM	FGM_5	outcome	anova	5	6.103773872432927	0.00041903083855669997	0.0008642511045231937
FGM	FGM_8	batch	spearman	57	-0.41789966271379586	0.0012182400961889552	0.0023648190102491485
FGM	FGM_0	batch	spearman	57	0.399689057656868	0.0020684387004797325	0.0037921376175461766
FGM	FGM_3	outcome	anova	5	3.912353786302729	0.007502831793699509	0.01303123416800441
FGM	FGM_0	cancer	anova	3	5.146162322863867	0.009001917566633263	0.014853163984944883
FGM	FGM_4	outcome	anova	5	3.130748369308374	0.022130659485462733	0.03392385383453971
FGM	FGM_9	batch	spearman	57	-0.3015878537483438	0.022615902556359806	0.03392385383453971
FGM	FGM_6	batch	spearman	57	-0.2825341651239656	0.03321925186569727	0.04766240485078304
FGM	FGM_3	batch	spearman	57	0.27336141591010565	0.03964018561244166	0.05311220731596102
FGM	FGM_1	cancer	anova	3	3.4119655150954475	0.040236520693909865	0.05311220731596102
FGM	FGM_10	batch	spearman	57	-0.251070286386718	0.05958635780221433	0.07562883874896434
FGM	FGM_4	cancer	anova	3	2.9178260875742428	0.06261966405249204	0.07653514495304582
FGM	FGM_4	batch	spearman	57	-0.18689476523239643	0.1639029762484159	0.19317136486420444
FGM	FGM_3	cancer	anova	3	1.6873298118015538	0.19462033633238235	0.22146452065409025
FGM	FGM_5	batch	spearman	57	0.1485176012420559	0.27021393248788145	0.29723532573666955
FGM	FGM_5	cancer	anova	3	0.6113981759255889	0.5463046077740916	0.581550066340162
FGM	FGM_7	batch	spearman	57	-0.07331454702548355	0.5878322200368933	0.6062019769130462
FGM	FGM_2	batch	spearman	57	0.007250518680073119	0.9573111076293523	0.9573111076293523
