gene	fgm	fgm_core
38413_at	6	6
41355_at	6	6
41139_at	6	-1
39809_at	6	6
33761_s_at	6	6
41448_at	0	0
40818_at	6	6
33039_at	4	4
39779_at	6	-1
33362_at	6	6
33936_at	6	-1
37306_at	6	6
37242_at	-1	-1
2094_s_at	6	6
777_at	6	6
39428_at	6	6
1373_at	6	6
40165_at	6	6
38581_at	5	5
39756_g_at	6	6
174_s_at	6	6
33753_at	6	-1
32026_s_at	6	6
160029_at	6	-1
33219_at	6	-1
315_at	6	6
1616_at	-1	-1
33316_at	-1	-1
40615_at	2	2
41812_s_at	6	-1
40961_at	6	6
36979_at	6	6
190_at	6	6
36643_at	6	6
39069_at	6	-1
38487_at	6	6
40480_s_at	6	6
38453_at	6	-1
39873_at	6	6
38895_i_at	6	6
1498_at	4	4
853_at	6	6
40375_at	6	6
351_f_at	6	6
35303_at	5	5
32570_at	-1	-1
32842_at	6	6
39930_at	-1	-1
AFFX-HSAC07/X00351_M_at	6	6
37844_at	5	5
1377_at	6	6
36511_at	6	-1
38098_at	6	6
1107_s_at	1	1
35885_at	-1	-1
182_at	6	-1
38805_at	6	6
649_s_at	6	6
33358_at	6	-1
40567_at	6	6
32977_at	6	6
31869_at	6	6
41225_at	6	6
38671_at	6	6
910_at	6	6
37190_at	6	-1
35017_f_at	6	6
40155_at	5	5
41634_at	6	6
31786_at	6	-1
38067_at	4	-1
1118_at	6	6
34312_at	6	6
35869_at	6	6
1472_g_at	6	6
1463_at	6	6
39243_s_at	6	-1
40659_at	6	6
40504_at	6	-1
33999_f_at	6	-1
41656_at	6	-1
40662_g_at	6	6
907_at	6	-1
38789_at	6	6
37679_at	6	-1
36690_at	6	6
AFFX-HUMISGF3A/M97935_3_at	1	1
36234_at	6	6
35648_at	6	6
AFFX-BioB-3_at	6	6
39065_s_at	-1	-1
35705_at	6	6
39135_at	6	-1
38253_at	-1	-1
32616_at	6	6
39604_at	6	6
37532_at	6	-1
1402_at	6	6
36097_at	6	6
1249_at	6	6
31863_at	3	-1
35695_at	6	-1
1575_at	5	5
AFFX-HUMGAPDH/M33197_5_at	6	6
33772_at	6	6
39736_at	6	6
676_g_at	6	6
402_s_at	6	6
2047_s_at	6	6
36537_at	6	6
38661_at	6	6
40839_at	6	6
35912_at	6	6
2069_s_at	6	6
32737_at	6	6
32849_at	3	3
39411_at	6	6
33641_g_at	6	-1
33924_at	6	6
35655_at	-1	-1
41381_at	6	-1
1178_at	-1	-1
33334_at	6	-1
41651_at	6	6
AFFX-BioB-M_at	6	6
38546_at	-1	-1
1675_at	6	-1
36589_at	6	6
36635_at	6	6
34878_at	6	6
34383_at	3	3
40720_at	6	-1
36909_at	6	-1
33501_r_at	6	6
35824_at	6	-1
36155_at	6	6
40786_at	6	-1
1693_s_at	6	6
38411_at	-1	-1
39039_s_at	6	6
32860_g_at	1	1
37028_at	6	6
34819_at	6	6
37281_at	6	6
2044_s_at	-1	-1
33291_at	5	5
38481_at	-1	-1
41745_at	6	6
40520_g_at	5	5
33261_at	6	6
41768_at	6	6
36207_at	6	6
41665_at	-1	-1
38415_at	6	-1
41562_at	6	-1
1038_s_at	6	6
37467_at	6	6
37875_at	-1	-1
1479_g_at	5	5
38576_at	6	-1
1801_at	6	-1
37727_i_at	6	6
39097_at	6	6
35143_at	6	6
37695_at	-1	-1
37416_at	6	6
36577_at	6	6
1854_at	6	6
37348_s_at	6	-1
34786_at	6	6
590_at	6	-1
36957_at	6	6
37374_at	6	-1
40296_at	6	6
38454_g_at	6	-1
36159_s_at	6	6
36628_at	6	-1
39231_at	6	6
31522_f_at	6	6
37774_at	6	-1
160026_at	6	6
39353_at	-1	-1
493_at	6	6
37170_at	6	6
1139_at	6	6
36412_s_at	1	1
35980_at	-1	-1
32587_at	6	6
31497_at	6	-1
37598_at	6	6
37842_at	-1	-1
1269_at	6	6
37819_at	-1	-1
38795_s_at	6	6
39380_at	6	-1
33865_at	6	-1
40690_at	6	6
32319_at	6	6
39077_at	6	6
34818_at	6	-1
33305_at	6	6
38391_at	6	6
35785_at	6	6
39224_at	6	6
572_at	3	-1
40841_at	6	6
39044_s_at	6	6
39319_at	5	5
AFFX-BioC-3_at	6	6
38119_at	6	6
39566_at	5	-1
31867_at	6	6
34216_at	6	6
38748_at	-1	-1
37535_at	6	-1
38837_at	6	6
34825_at	6	-1
2003_s_at	6	6
2085_s_at	6	6
38361_g_at	6	6
37026_at	6	6
38287_at	6	6
38522_s_at	6	6
37506_at	6	6
37754_at	6	6
32593_at	6	6
40993_r_at	6	-1
893_at	6	6
39147_g_at	6	6
943_at	-1	-1
34268_at	6	6
1336_s_at	6	-1
37033_s_at	6	6
36059_at	-1	-1
1913_at	6	6
36938_at	6	6
34651_at	6	6
32159_at	6	6
34279_at	6	6
38470_i_at	-1	-1
32668_at	6	6
39969_at	6	-1
40016_g_at	5	5
39372_at	6	-1
32070_at	6	6
40928_at	6	6
36935_at	6	-1
32119_at	6	-1
33499_s_at	6	6
40041_at	3	3
41489_at	6	6
172_at	6	6
AFFX-BioB-5_at	6	6
37338_at	2	2
41447_at	6	6
33943_at	6	6
41219_at	2	2
1633_g_at	6	6
40822_at	6	6
40128_at	6	6
37908_at	6	-1
32808_at	6	6
34283_at	-1	-1
36484_at	6	-1
41292_at	6	6
35430_at	6	-1
39046_at	6	-1
40278_at	6	6
41199_s_at	6	6
1237_at	6	6
39814_s_at	6	-1
32749_s_at	6	6
34355_at	6	6
31608_g_at	6	6
37177_at	6	6
38392_at	6	-1
33866_at	6	6
39005_s_at	6	-1
37377_i_at	6	6
36913_at	6	6
1940_at	6	6
38248_at	6	6
40147_at	4	4
32569_at	6	-1
37899_at	3	3
40067_at	6	6
37661_at	6	6
38042_at	-1	-1
36601_at	6	6
32408_s_at	6	6
38110_at	6	6
41819_at	-1	-1
37561_at	6	6
41243_at	6	6
38992_at	6	6
32224_at	6	-1
37828_at	6	-1
41583_at	3	3
1826_at	6	6
1842_at	6	6
35177_at	6	-1
40514_at	6	6
176_at	6	-1
39613_at	6	6
39156_at	-1	-1
41830_at	6	-1
32835_at	6	6
37829_at	-1	-1
34716_at	6	6
2042_s_at	6	6
38908_s_at	6	6
39398_s_at	6	6
40145_at	3	3
969_s_at	6	6
35340_at	6	6
35787_at	6	6
37038_at	-1	-1
32654_g_at	6	-1
40349_at	-1	-1
32643_at	6	6
262_at	6	6
37328_at	6	6
39420_at	6	6
39003_at	6	6
33847_s_at	6	6
38120_at	6	6
32825_at	6	6
39175_at	6	6
35848_at	6	6
1637_at	6	-1
41379_at	6	-1
33339_g_at	1	1
33214_at	6	6
794_at	6	6
34752_at	6	-1
38160_at	2	2
37276_at	-1	-1
38659_at	6	6
37694_at	6	6
38676_at	-1	-1
1814_at	6	6
1039_s_at	6	6
35720_at	6	6
33678_i_at	6	6
39677_at	3	3
36597_at	-1	-1
953_g_at	6	6
34234_f_at	6	6
393_s_at	6	-1
1647_at	-1	-1
33781_s_at	6	6
40074_at	6	-1
36680_at	6	-1
1526_i_at	6	-1
39709_at	4	4
32215_i_at	6	-1
35260_at	6	6
37883_i_at	-1	-1
39131_at	6	-1
33421_s_at	6	6
32778_at	6	6
35059_at	6	6
35184_at	6	6
38980_at	6	6
AFFX-BioC-5_at	6	6
38102_at	6	-1
39226_at	4	4
40913_at	6	-1
31856_at	6	6
40619_at	6	6
38774_at	6	6
34397_at	6	6
39040_at	6	6
1226_at	6	6
AFFX-CreX-5_at	6	6
40048_at	6	6
38555_at	6	6
41320_s_at	6	6
38763_at	6	-1
2039_s_at	6	6
32183_at	6	6
38666_at	6	6
40688_at	4	4
968_i_at	6	6
818_s_at	6	6
1161_at	6	6
35937_at	6	6
38148_at	6	6
37009_at	6	6
1055_g_at	3	3
1717_s_at	5	5
41257_at	6	6
38357_at	6	6
36655_at	6	-1
35769_at	6	6
36980_at	6	6
41695_at	6	6
39692_at	6	-1
2052_g_at	6	6
906_at	5	5
39744_at	6	6
35851_g_at	6	6
32736_at	6	6
32784_at	6	-1
32541_at	6	6
37229_at	6	-1
40876_at	6	6
38353_at	6	-1
1179_at	6	6
33788_at	6	6
41654_at	6	6
41462_at	6	6
38082_at	6	6
AFFX-CreX-3_at	6	6
38472_at	6	6
38692_at	6	-1
752_s_at	6	6
442_at	6	6
32572_at	6	6
39370_at	6	6
41153_f_at	6	6
40487_at	6	6
39324_at	-1	-1
32454_at	-1	-1
1694_s_at	6	6
33146_at	6	6
40517_at	6	-1
31528_f_at	6	6
31431_at	6	6
915_at	1	1
40581_at	6	6
35236_g_at	6	6
34224_at	6	6
38759_at	6	-1
33243_at	5	5
40811_at	6	6
35341_at	6	6
36926_at	6	-1
32066_g_at	6	6
38978_at	-1	-1
41638_at	6	6
38650_at	4	-1
755_at	6	6
37446_at	6	-1
41425_at	6	6
1516_g_at	3	3
37383_f_at	6	6
35845_at	6	6
34780_at	6	6
37729_at	6	6
33852_at	6	-1
34730_g_at	4	4
38518_at	6	6
37384_at	6	6
36209_at	6	6
37180_at	6	6
34654_at	6	6
1493_r_at	6	6
32509_at	6	6
35249_at	6	-1
32978_g_at	6	6
41743_i_at	6	6
36825_at	6	6
2004_at	6	6
39221_at	6	6
38573_at	6	6
32623_at	6	6
AFFX-HSAC07/X00351_3_st	6	6
35163_at	6	6
36685_at	6	6
1062_g_at	6	6
1527_s_at	6	6
37861_at	-1	-1
39327_at	6	6
40195_at	3	3
40417_at	6	-1
227_g_at	6	6
37965_at	6	6
2053_at	4	4
2056_at	6	6
33387_at	6	6
40167_s_at	6	6
41058_g_at	6	-1
38124_at	6	6
40441_g_at	6	6
37249_at	6	6
AFFX-BioDn-3_at	6	6
41396_at	6	6
36175_s_at	6	6
36215_at	-1	-1
38065_at	6	6
40865_at	6	-1
37617_at	6	-1
33264_at	-1	-1
38072_at	6	6
34477_at	-1	-1
40076_at	6	6
1217_g_at	6	-1
36757_at	6	6
38075_at	6	6
40864_at	6	6
37579_at	6	6
292_s_at	6	6
36953_at	6	6
31524_f_at	6	6
1856_at	6	6
40704_at	6	6
525_g_at	2	2
35970_g_at	6	-1
38976_at	6	6
38764_at	6	6
37294_at	6	6
34417_at	6	-1
35714_at	6	6
1794_at	6	6
34660_at	6	-1
38378_at	6	6
38441_s_at	6	6
34609_g_at	6	6
32165_at	6	-1
34981_at	6	6
36580_at	6	-1
1909_at	6	-1
35682_at	6	6
39507_at	6	6
33791_at	-1	-1
40877_s_at	6	6
36631_at	6	-1
33799_at	6	6
40888_f_at	6	6
34763_at	6	-1
34684_at	6	-1
37794_at	6	-1
32695_at	6	6
39219_at	6	6
32747_at	6	-1
35633_at	6	6
37955_at	6	-1
446_at	6	6
38073_at	6	6
32624_at	6	-1
32321_at	6	6
38359_at	6	6
40191_s_at	6	6
619_s_at	6	6
268_at	6	-1
1565_s_at	6	6
34306_at	6	6
39730_at	6	6
34781_at	6	6
1427_g_at	5	5
32979_at	6	6
40220_at	6	6
1382_at	6	-1
39452_s_at	6	6
39348_at	6	6
36933_at	6	6
37651_at	6	6
35220_at	-1	-1
40738_at	5	5
32961_at	6	6
35632_at	6	6
1268_at	6	6
32585_at	-1	-1
33267_at	6	6
35153_at	6	6
34777_at	6	6
41809_at	6	6
34342_s_at	6	-1
36940_at	6	6
34728_g_at	6	6
36062_at	6	-1
40370_f_at	6	6
41174_at	6	-1
35289_at	6	6
32597_at	6	6
32850_at	6	6
38032_at	6	6
35019_at	6	6
1672_f_at	6	-1
34934_at	6	6
1985_s_at	6	6
41808_at	6	6
1467_at	6	6
36620_at	6	6
33381_at	6	6
34278_at	6	6
39330_s_at	6	6
31731_at	6	6
35268_at	6	6
33338_at	1	1
922_at	6	6
277_at	6	6
1615_at	6	6
220_r_at	6	6
