gene	cgm	cgm_core
40567_at	1	1
32977_at	1	1
32089_at	-1	-1
31869_at	1	1
41225_at	1	1
38671_at	1	-1
910_at	1	1
37190_at	1	-1
35017_f_at	1	1
40155_at	1	1
41634_at	1	1
31786_at	1	-1
38067_at	1	1
1118_at	1	-1
37209_g_at	-1	-1
38465_at	-1	-1
34312_at	1	1
1405_i_at	0	0
35869_at	1	1
1472_g_at	1	1
1463_at	1	1
39243_s_at	1	1
40659_at	1	-1
40504_at	1	1
33999_f_at	1	-1
41656_at	1	-1
40662_g_at	1	-1
907_at	1	1
654_at	0	0
37001_at	0	-1
38789_at	1	-1
37679_at	1	1
36690_at	1	1
AFFX-HUMISGF3A/M97935_3_at	1	-1
36234_at	1	1
35648_at	1	1
AFFX-BioB-3_at	1	-1
35939_s_at	-1	-1
39065_s_at	1	1
35705_at	1	-1
39135_at	1	-1
AFFX-YEL021w/URA3_at	-1	-1
36447_at	0	0
38253_at	1	1
32616_at	1	-1
39604_at	1	1
34376_at	-1	-1
37532_at	1	1
1402_at	1	-1
36097_at	1	-1
1249_at	1	1
31863_at	1	1
40049_at	-1	-1
35695_at	1	1
1575_at	1	-1
AFFX-HUMGAPDH/M33197_5_at	1	1
33772_at	1	-1
39736_at	1	1
676_g_at	1	-1
40757_at	0	-1
402_s_at	1	-1
2047_s_at	1	1
36537_at	1	1
38661_at	1	1
40839_at	1	1
35912_at	1	-1
2069_s_at	1	1
1779_s_at	-1	-1
32737_at	1	1
32849_at	1	1
39411_at	1	1
39728_at	0	0
33641_g_at	1	1
828_at	-1	-1
37921_at	-1	-1
33924_at	1	1
35655_at	1	1
41381_at	1	1
1178_at	1	-1
38869_at	-1	-1
33334_at	1	1
37215_at	-1	-1
33759_at	0	0
41651_at	1	1
AFFX-BioB-M_at	1	-1
38546_at	1	1
1675_at	1	1
36589_at	1	-1
36635_at	1	1
31763_at	-1	-1
34878_at	1	1
34383_at	1	1
40720_at	1	1
36909_at	1	1
33501_r_at	1	-1
35824_at	1	1
36155_at	1	-1
40786_at	1	1
1693_s_at	1	-1
38411_at	1	1
39039_s_at	1	1
32860_g_at	1	-1
37028_at	1	1
34819_at	1	1
37281_at	1	-1
2044_s_at	1	1
39081_at	-1	-1
33291_at	1	1
38481_at	1	1
41745_at	1	1
40520_g_at	1	-1
36203_at	-1	-1
33261_at	1	1
41768_at	1	1
36207_at	1	1
41177_at	-1	-1
41665_at	1	1
38415_at	1	1
41562_at	1	1
1038_s_at	1	1
37467_at	1	1
41073_at	-1	-1
37875_at	1	1
1479_g_at	1	1
38576_at	1	-1
1801_at	1	-1
37727_i_at	1	1
37835_at	-1	-1
37405_at	0	0
39097_at	1	1
35143_at	1	1
37695_at	1	1
37416_at	1	-1
36577_at	1	-1
1854_at	1	1
40419_at	0	0
37348_s_at	1	1
34786_at	1	1
590_at	1	-1
36957_at	1	1
37374_at	1	1
34950_at	-1	-1
40296_at	1	-1
38454_g_at	1	1
36159_s_at	1	-1
36628_at	1	1
1635_at	-1	-1
32806_at	-1	-1
39231_at	1	1
31522_f_at	1	1
37774_at	1	1
1140_at	-1	-1
160026_at	1	1
37099_at	-1	-1
39353_at	1	-1
493_at	1	1
37170_at	1	-1
1139_at	1	1
36412_s_at	1	-1
35980_at	1	1
32587_at	1	1
31497_at	1	-1
37598_at	1	1
37842_at	1	1
1269_at	1	1
37819_at	1	1
38795_s_at	1	1
39380_at	1	1
33865_at	1	-1
40690_at	1	-1
32319_at	1	1
39077_at	1	1
34818_at	1	-1
33305_at	1	-1
36749_at	-1	-1
38391_at	1	1
35785_at	1	1
39224_at	1	1
572_at	1	1
40841_at	1	1
39044_s_at	1	1
39319_at	1	1
AFFX-BioC-3_at	1	-1
38119_at	1	-1
39566_at	1	-1
31867_at	1	-1
34216_at	1	1
38748_at	1	1
37535_at	1	1
38837_at	1	1
34825_at	1	1
2003_s_at	1	1
2085_s_at	1	1
38361_g_at	1	-1
37026_at	1	-1
38287_at	1	1
38522_s_at	1	1
37506_at	1	1
37754_at	1	-1
32593_at	1	1
40993_r_at	1	1
893_at	1	1
39147_g_at	1	1
943_at	1	1
34268_at	1	1
1336_s_at	1	-1
37033_s_at	1	1
36059_at	1	-1
1913_at	1	-1
36938_at	1	1
34651_at	1	1
32159_at	1	1
34279_at	1	1
38470_i_at	1	1
35367_at	0	0
32668_at	1	1
39969_at	1	-1
40016_g_at	1	1
39372_at	1	1
32070_at	1	1
40928_at	1	-1
36935_at	1	1
32119_at	1	1
33499_s_at	1	-1
40041_at	1	1
41489_at	1	1
172_at	1	1
AFFX-BioB-5_at	1	-1
37338_at	1	1
41447_at	1	1
33943_at	1	-1
41219_at	1	1
1633_g_at	1	1
40822_at	1	1
1788_s_at	-1	-1
40128_at	1	1
37908_at	1	-1
32808_at	1	1
34283_at	1	1
36484_at	1	-1
41292_at	1	-1
35430_at	1	1
39046_at	1	1
37542_at	-1	-1
40278_at	1	1
34870_at	-1	-1
41199_s_at	1	-1
1237_at	1	-1
39814_s_at	1	1
32749_s_at	1	-1
34355_at	1	1
31608_g_at	1	1
37177_at	1	1
38392_at	1	1
33866_at	1	-1
39005_s_at	1	1
37377_i_at	1	1
36913_at	1	1
34098_f_at	-1	-1
1940_at	1	1
38248_at	1	1
40147_at	1	1
32569_at	1	1
37899_at	1	1
40067_at	1	1
37661_at	1	-1
38042_at	1	1
36601_at	1	1
32408_s_at	1	1
38110_at	1	-1
41819_at	1	1
37561_at	1	-1
41243_at	1	1
38992_at	1	1
32224_at	1	1
37828_at	1	1
41583_at	1	1
1826_at	1	1
1842_at	1	-1
35177_at	1	1
40514_at	1	1
176_at	1	1
39613_at	1	1
39156_at	1	1
41830_at	1	1
32835_at	1	1
33690_at	-1	-1
37829_at	1	-1
34716_at	1	1
37749_at	-1	-1
2042_s_at	1	-1
38908_s_at	1	1
39398_s_at	1	-1
36119_at	-1	-1
40272_at	-1	-1
40145_at	1	1
33103_s_at	-1	-1
969_s_at	1	1
35340_at	1	-1
35787_at	1	1
32314_g_at	-1	-1
37038_at	1	1
32654_g_at	1	1
40349_at	1	1
32643_at	1	1
262_at	1	-1
37328_at	1	-1
39420_at	1	-1
39003_at	1	-1
1964_g_at	-1	-1
33847_s_at	1	1
38120_at	1	1
32825_at	1	-1
39175_at	1	-1
35848_at	1	1
36100_at	0	-1
1637_at	1	1
41379_at	1	1
33339_g_at	1	-1
33214_at	1	1
794_at	1	1
37021_at	0	-1
34752_at	1	1
38160_at	1	1
37276_at	1	1
38659_at	1	1
37694_at	1	1
38676_at	1	1
1814_at	1	1
1039_s_at	1	1
37918_at	0	-1
35720_at	1	1
33678_i_at	1	1
39677_at	1	1
2061_at	-1	-1
36597_at	1	1
953_g_at	1	1
34234_f_at	1	-1
393_s_at	1	1
769_s_at	0	-1
1647_at	1	1
33781_s_at	1	1
40074_at	1	-1
36680_at	1	1
1526_i_at	1	-1
33355_at	-1	-1
2045_s_at	-1	-1
39709_at	1	1
32215_i_at	1	-1
35260_at	1	1
37883_i_at	1	1
39131_at	1	1
33421_s_at	1	1
32778_at	1	1
1583_at	-1	-1
35059_at	1	1
35184_at	1	1
38980_at	1	1
AFFX-BioC-5_at	1	-1
38102_at	1	1
39226_at	1	1
40913_at	1	1
31856_at	1	1
36753_at	0	-1
40619_at	1	1
38774_at	1	1
34397_at	1	1
39040_at	1	1
1226_at	1	-1
AFFX-CreX-5_at	1	-1
40048_at	1	1
38555_at	1	-1
41320_s_at	1	1
38763_at	1	-1
2039_s_at	1	-1
38323_at	0	-1
32183_at	1	1
38666_at	1	1
40688_at	1	1
968_i_at	1	1
818_s_at	1	1
1161_at	1	1
35937_at	1	1
38148_at	1	1
37009_at	1	-1
1055_g_at	1	1
1717_s_at	1	1
41257_at	1	1
38357_at	1	1
36655_at	1	1
35769_at	1	-1
36980_at	1	1
41695_at	1	1
39692_at	1	1
2052_g_at	1	1
906_at	1	1
39744_at	1	-1
35851_g_at	1	-1
32736_at	1	1
32784_at	1	1
32541_at	1	1
37229_at	1	1
994_at	-1	-1
37253_at	-1	-1
40876_at	1	1
38353_at	1	1
1179_at	1	-1
33788_at	1	1
41654_at	1	1
41462_at	1	1
38082_at	1	1
AFFX-CreX-3_at	1	-1
32363_at	-1	-1
38472_at	1	1
38692_at	1	1
752_s_at	1	-1
442_at	1	-1
32572_at	1	1
39370_at	1	1
41153_f_at	1	1
40487_at	1	-1
39324_at	1	-1
32454_at	1	-1
1694_s_at	1	1
33146_at	1	-1
834_at	-1	-1
40517_at	1	1
31528_f_at	1	1
31431_at	1	1
915_at	1	-1
40581_at	1	1
35236_g_at	1	1
34224_at	1	1
38759_at	1	1
33243_at	1	1
40422_at	-1	-1
40811_at	1	1
35341_at	1	1
36926_at	1	1
36889_at	0	0
32066_g_at	1	-1
36899_at	-1	-1
38978_at	1	1
41638_at	1	1
38650_at	1	-1
755_at	1	1
37446_at	1	1
41425_at	1	-1
1516_g_at	1	1
37383_f_at	1	1
35845_at	1	1
34780_at	1	1
37729_at	1	1
478_g_at	-1	-1
41592_at	-1	-1
33852_at	1	1
34730_g_at	1	1
38518_at	1	1
37384_at	1	1
36209_at	1	1
37180_at	1	1
34654_at	1	1
1493_r_at	1	1
32509_at	1	-1
35249_at	1	1
32978_g_at	1	1
41743_i_at	1	1
36825_at	1	1
2004_at	1	1
39221_at	1	1
39436_at	0	0
38573_at	1	1
32623_at	1	-1
AFFX-HSAC07/X00351_3_st	1	-1
35163_at	1	1
36685_at	1	1
1062_g_at	1	1
1527_s_at	1	1
37861_at	1	1
39327_at	1	-1
35362_at	-1	-1
40195_at	1	-1
40417_at	1	1
227_g_at	1	-1
37965_at	1	1
2053_at	1	1
2056_at	1	-1
33387_at	1	-1
40167_s_at	1	1
41058_g_at	1	1
38124_at	1	1
40441_g_at	1	-1
37249_at	1	-1
AFFX-BioDn-3_at	1	-1
32163_f_at	-1	-1
41396_at	1	1
36175_s_at	1	-1
36215_at	1	1
38065_at	1	-1
40865_at	1	1
37617_at	1	1
33264_at	1	1
38072_at	1	1
34477_at	1	-1
40076_at	1	1
37351_at	-1	-1
41246_at	-1	-1
1217_g_at	1	-1
37192_at	0	0
36757_at	1	-1
38075_at	1	1
40864_at	1	1
37579_at	1	1
292_s_at	1	1
36953_at	1	1
31524_f_at	1	1
1856_at	1	1
40704_at	1	1
525_g_at	1	1
35970_g_at	1	1
38976_at	1	-1
38764_at	1	1
37294_at	1	1
34417_at	1	1
35714_at	1	1
1794_at	1	-1
34660_at	1	-1
38378_at	1	1
38441_s_at	1	1
34609_g_at	1	1
32165_at	1	-1
34981_at	1	1
36580_at	1	1
1909_at	1	1
35682_at	1	1
39507_at	1	1
39698_at	-1	-1
33791_at	1	1
41362_at	-1	-1
40877_s_at	1	1
36631_at	1	1
33799_at	1	-1
38313_at	-1	-1
40888_f_at	1	-1
38614_s_at	-1	-1
34951_at	-1	-1
32963_s_at	-1	-1
34763_at	1	1
34684_at	1	1
37794_at	1	1
32695_at	1	1
39219_at	1	-1
32747_at	1	-1
35633_at	1	1
37955_at	1	1
446_at	1	1
38073_at	1	1
32624_at	1	1
32321_at	1	1
38359_at	1	-1
40191_s_at	1	-1
619_s_at	1	-1
268_at	1	-1
1565_s_at	1	1
34306_at	1	1
39730_at	1	-1
34781_at	1	1
1427_g_at	1	1
32979_at	1	1
40220_at	1	1
35742_at	-1	-1
1382_at	1	1
404_at	-1	-1
39452_s_at	1	1
39348_at	1	1
36933_at	1	1
37651_at	1	1
37194_at	-1	-1
35220_at	1	-1
40738_at	1	1
40251_at	-1	-1
32961_at	1	1
35632_at	1	1
1268_at	1	1
32585_at	1	-1
33267_at	1	1
35153_at	1	1
34777_at	1	-1
41809_at	1	1
34342_s_at	1	-1
36940_at	1	1
36766_at	0	-1
34728_g_at	1	-1
36062_at	1	1
40370_f_at	1	1
41174_at	1	1
35289_at	1	1
32597_at	1	1
32850_at	1	1
38032_at	1	-1
35019_at	1	1
1672_f_at	1	-1
34934_at	1	1
37002_at	0	0
1985_s_at	1	1
41808_at	1	1
34335_at	-1	-1
1467_at	1	-1
36620_at	1	1
33381_at	1	1
34278_at	1	1
39330_s_at	1	-1
34183_at	-1	-1
31731_at	1	1
35268_at	1	1
33338_at	1	-1
39179_at	0	-1
922_at	1	1
277_at	1	-1
1615_at	1	1
220_r_at	1	-1
38488_s_at	-1	-1
